// We want to search the anomalous dimension just for the sake of seeing what happens here.
2, 0, 1.3, -0.163064, -3, 3, 2000,false
2, 0, 1.4, -0.23361, -3, 3, 2000,false
2, 0, 1.5, -0.308565, -3, 3, 2000,false
2, 0, 1.6, -0.369921, -3, 3, 2000,false
2, 0, 1.65, -0.427565, -3, 3, 2000,false
2, 0, 1.7, -0.470493, -3, 3, 2000,false
2, 0, 1.75, -0.514254, -3, 3, 2000,false
2, 0, 1.8, -0.560211, -3, 3, 2000,false
2, 0, 1.85, -0.609135, -3, 3, 2000,false
2, 0, 1.9, -0.663798, -3, 3, 2000,false
2, 0, 1.95, -0.730567, -3, 3, 2000,false
