2.0,0.0,1.305356,-0.16655900, -2, 2, 1000
2.0,0.0,1.554808,-0.35115500, -2, 2, 1000
2.0,0.0,1.656348,-0.43350099, -2, 2, 1000
2.0,0.0,1.750000,-0.51410600, -2, 2, 1000
2.0,0.0,1.800000,-0.55988200, -2, 2, 1000
2.0,0.0,1.850000,-0.60889200, -2, 2, 1000
2.0,0.0,1.900000,-0.66362400, -2, 2, 1000

2.05, 0.2095270, 2.0, -0.509877, -2, 2, 1000
2.10, 0.1988080, 2.0, -0.482511, -2, 2, 1000
2.20, 0.1778770, 2.0, -0.433252, -2, 2, 1000
2.40, 0.1341020, 2.0, -0.351155, -2, 2, 1000
2.60, 0.1004200, 2.0, -0.278510, -2, 2, 1000
2.80, 0.0660717, 2.0, -0.219798, -2, 2, 1000
3.00, 0.0419660, 2.0, -0.166300, -2, 2, 1000
