2.05,0.05,2,0.05,-0.95,10.9372
2.05,0.05,2,0.05,-0.949797,10.8959
2.05,0.05,2,0.05,-0.949593,10.855
2.05,0.05,2,0.05,-0.94939,10.8143
2.05,0.05,2,0.05,-0.949187,10.774
2.05,0.05,2,0.05,-0.948983,10.734
2.05,0.05,2,0.05,-0.94878,10.6944
2.05,0.05,2,0.05,-0.948577,10.655
2.05,0.05,2,0.05,-0.948373,10.616
2.05,0.05,2,0.05,-0.94817,10.5773
2.05,0.05,2,0.05,-0.947967,10.5388
2.05,0.05,2,0.05,-0.947763,10.5007
2.05,0.05,2,0.05,-0.94756,10.4629
2.05,0.05,2,0.05,-0.947356,10.4254
2.05,0.05,2,0.05,-0.947153,10.3881
2.05,0.05,2,0.05,-0.94695,10.3512
2.05,0.05,2,0.05,-0.946746,10.3145
2.05,0.05,2,0.05,-0.946543,10.2781
2.05,0.05,2,0.05,-0.94634,10.242
2.05,0.05,2,0.05,-0.946136,10.2062
2.05,0.05,2,0.05,-0.945933,10.1706
2.05,0.05,2,0.05,-0.94573,10.1353
2.05,0.05,2,0.05,-0.945526,10.1003
2.05,0.05,2,0.05,-0.945323,10.0655
2.05,0.05,2,0.05,-0.94512,10.031
2.05,0.05,2,0.05,-0.944916,9.99677
2.05,0.05,2,0.05,-0.944713,9.96278
2.05,0.05,2,0.05,-0.94451,9.92903
2.05,0.05,2,0.05,-0.944306,9.89553
2.05,0.05,2,0.05,-0.944103,9.86228
2.05,0.05,2,0.05,-0.9439,9.82927
2.05,0.05,2,0.05,-0.943696,9.7965
2.05,0.05,2,0.05,-0.943493,9.76397
2.05,0.05,2,0.05,-0.94329,9.73168
2.05,0.05,2,0.05,-0.943086,9.69961
2.05,0.05,2,0.05,-0.942883,9.66778
2.05,0.05,2,0.05,-0.94268,9.63617
2.05,0.05,2,0.05,-0.942476,9.60479
2.05,0.05,2,0.05,-0.942273,9.57363
2.05,0.05,2,0.05,-0.942069,9.5427
2.05,0.05,2,0.05,-0.941866,9.51198
2.05,0.05,2,0.05,-0.941663,9.48147
2.05,0.05,2,0.05,-0.941459,9.45118
2.05,0.05,2,0.05,-0.941256,9.42111
2.05,0.05,2,0.05,-0.941053,9.39124
2.05,0.05,2,0.05,-0.940849,9.36157
2.05,0.05,2,0.05,-0.940646,9.33212
2.05,0.05,2,0.05,-0.940443,9.30286
2.05,0.05,2,0.05,-0.940239,9.27381
2.05,0.05,2,0.05,-0.940036,9.24495
2.05,0.05,2,0.05,-0.939833,9.2163
2.05,0.05,2,0.05,-0.939629,9.18783
2.05,0.05,2,0.05,-0.939426,9.15956
2.05,0.05,2,0.05,-0.939223,9.13148
2.05,0.05,2,0.05,-0.939019,9.10359
2.05,0.05,2,0.05,-0.938816,9.07589
2.05,0.05,2,0.05,-0.938613,9.04837
2.05,0.05,2,0.05,-0.938409,9.02104
2.05,0.05,2,0.05,-0.938206,8.99388
2.05,0.05,2,0.05,-0.938003,8.96691
