2.001,0.15,2,0.0113726,1.2,274.661
2.001,0.15,2,0.0113734,1.20012,274.672
2.001,0.15,2,0.0113741,1.20023,274.683
2.001,0.15,2,0.0113746,1.20035,274.692
2.001,0.15,2,0.0113755,1.20047,274.703
2.001,0.15,2,0.0113759,1.20058,274.713
2.001,0.15,2,0.0113767,1.2007,274.723
2.001,0.15,2,0.0113774,1.20082,274.733
2.001,0.15,2,0.011378,1.20093,274.743
2.001,0.15,2,0.0113787,1.20105,274.754
2.001,0.15,2,0.0113794,1.20117,274.764
2.001,0.15,2,0.01138,1.20128,274.775
2.001,0.15,2,0.0113808,1.2014,274.785
2.001,0.15,2,0.0113813,1.20152,274.795
2.001,0.15,2,0.0113819,1.20163,274.806
2.001,0.15,2,0.0113826,1.20175,274.816
2.001,0.15,2,0.0113833,1.20187,274.826
2.001,0.15,2,0.011384,1.20198,274.837
2.001,0.15,2,0.0113856,1.2021,274.852
2.001,0.15,2,0.0113862,1.20222,274.862
2.001,0.15,2,0.0113871,1.20233,274.874
2.001,0.15,2,0.0113877,1.20245,274.884
2.001,0.15,2,0.0113885,1.20257,274.895
2.001,0.15,2,0.0113891,1.20268,274.905
2.001,0.15,2,0.0113895,1.2028,274.914
2.001,0.15,2,0.0113903,1.20292,274.925
2.001,0.15,2,0.0113909,1.20303,274.935
2.001,0.15,2,0.0113914,1.20315,274.944
2.001,0.15,2,0.0113921,1.20327,274.955
2.001,0.15,2,0.0113928,1.20338,274.966
2.001,0.15,2,0.0113935,1.2035,274.977
2.001,0.15,2,0.0113941,1.20362,274.987
2.001,0.15,2,0.0113945,1.20373,274.996
2.001,0.15,2,0.0113953,1.20385,275.007
2.001,0.15,2,0.0113959,1.20397,275.017
2.001,0.15,2,0.0113965,1.20408,275.027
2.001,0.15,2,0.0113981,1.2042,275.043
2.001,0.15,2,0.0113987,1.20432,275.053
2.001,0.15,2,0.0113994,1.20443,275.064
2.001,0.15,2,0.0114,1.20455,275.074
2.001,0.15,2,0.0114005,1.20467,275.084
2.001,0.15,2,0.0114011,1.20478,275.094
2.001,0.15,2,0.0114019,1.2049,275.105
2.001,0.15,2,0.0114025,1.20502,275.115
2.001,0.15,2,0.0114033,1.20513,275.127
2.001,0.15,2,0.0114037,1.20525,275.136
2.001,0.15,2,0.0114044,1.20537,275.147
2.001,0.15,2,0.0114049,1.20548,275.156
2.001,0.15,2,0.0114059,1.2056,275.169
2.001,0.15,2,0.0114065,1.20572,275.18
2.001,0.15,2,0.0114072,1.20583,275.19
2.001,0.15,2,0.0114076,1.20595,275.199
2.001,0.15,2,0.0114083,1.20607,275.21
2.001,0.15,2,0.0114089,1.20618,275.22
2.001,0.15,2,0.0114096,1.2063,275.231
2.001,0.15,2,0.0114102,1.20642,275.242
2.001,0.15,2,0.0114109,1.20653,275.253
2.001,0.15,2,0.0114115,1.20665,275.263
2.001,0.15,2,0.0114122,1.20677,275.274
2.001,0.15,2,0.0114129,1.20688,275.285
2.001,0.15,2,0.0114136,1.207,275.295
2.001,0.15,2,0.0114143,1.20712,275.306
2.001,0.15,2,0.0114149,1.20723,275.317
2.001,0.15,2,0.0114156,1.20735,275.328
2.001,0.15,2,0.0114162,1.20747,275.338
2.001,0.15,2,0.0114169,1.20758,275.349
2.001,0.15,2,0.0114174,1.2077,275.359
2.001,0.15,2,0.011418,1.20782,275.37
2.001,0.15,2,0.0114187,1.20793,275.38
2.001,0.15,2,0.0116861,1.20805,277.121
2.001,0.15,2,0.0116868,1.20817,277.133
2.001,0.15,2,0.0116874,1.20828,277.146
2.001,0.15,2,0.0116881,1.2084,277.159
2.001,0.15,2,0.0116891,1.20852,277.174
2.001,0.15,2,0.0116897,1.20863,277.186
2.001,0.15,2,0.0116904,1.20875,277.199
2.001,0.15,2,0.0116911,1.20887,277.212
2.001,0.15,2,0.0116917,1.20898,277.225
2.001,0.15,2,0.0116924,1.2091,277.238
2.001,0.15,2,0.0116931,1.20922,277.251
2.001,0.15,2,0.0116938,1.20933,277.264
2.001,0.15,2,0.0116946,1.20945,277.278
2.001,0.15,2,0.0116953,1.20957,277.291
2.001,0.15,2,0.0116959,1.20968,277.303
2.001,0.15,2,0.0116966,1.2098,277.316
2.001,0.15,2,0.0116973,1.20992,277.33
2.001,0.15,2,0.011698,1.21003,277.343
2.001,0.15,2,0.0116984,1.21015,277.354
2.001,0.15,2,0.0116991,1.21027,277.367
2.001,0.15,2,0.0116999,1.21038,277.381
2.001,0.15,2,0.0117006,1.2105,277.394
2.001,0.15,2,0.0117012,1.21062,277.407
2.001,0.15,2,0.0117018,1.21073,277.419
2.001,0.15,2,0.0117026,1.21085,277.433
2.001,0.15,2,0.0117033,1.21097,277.447
2.001,0.15,2,0.0117041,1.21108,277.461
2.001,0.15,2,0.0117047,1.2112,277.473
2.001,0.15,2,0.011705,1.21132,277.486
2.001,0.15,2,0.0117057,1.21143,277.5
2.001,0.15,2,0.011707,1.21155,277.517
2.001,0.15,2,0.0117077,1.21167,277.531
2.001,0.15,2,0.0117083,1.21178,277.543
2.001,0.15,2,0.0117091,1.2119,277.558
2.001,0.15,2,0.0117098,1.21202,277.571
2.001,0.15,2,0.0117104,1.21213,277.584
2.001,0.15,2,0.0117111,1.21225,277.598
2.001,0.15,2,0.0117118,1.21237,277.611
2.001,0.15,2,0.0117124,1.21248,277.624
2.001,0.15,2,0.0117133,1.2126,277.637
2.001,0.15,2,0.011714,1.21272,277.65
2.001,0.15,2,0.0117146,1.21283,277.664
2.001,0.15,2,0.0117154,1.21295,277.677
2.001,0.15,2,0.0117157,1.21307,277.691
2.001,0.15,2,0.0117165,1.21318,277.705
2.001,0.15,2,0.0117171,1.2133,277.718
2.001,0.15,2,0.0117179,1.21342,277.732
2.001,0.15,2,0.0117184,1.21353,277.745
2.001,0.15,2,0.0117192,1.21365,277.759
2.001,0.15,2,0.0117199,1.21377,277.772
2.001,0.15,2,0.0117206,1.21388,277.786
2.001,0.15,2,0.0117214,1.214,277.8
2.001,0.15,2,0.0117221,1.21412,277.815
2.001,0.15,2,0.0117227,1.21423,277.827
2.001,0.15,2,0.0117232,1.21435,277.839
2.001,0.15,2,0.0117239,1.21447,277.853
2.001,0.15,2,0.0117246,1.21458,277.867
2.001,0.15,2,0.0117259,1.2147,277.886
2.001,0.15,2,0.0117266,1.21482,277.899
2.001,0.15,2,0.0117273,1.21493,277.913
2.001,0.15,2,0.0117281,1.21505,277.927
2.001,0.15,2,0.0117288,1.21517,277.941
2.001,0.15,2,0.0117295,1.21528,277.955
2.001,0.15,2,0.0117302,1.2154,277.969
2.001,0.15,2,0.011731,1.21552,277.983
