2.05,2,0.127802,-0.727544,2.95345
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.754668,3.11286
2.05,2,0.169169,-0.744401,3.06541
2.05,2,0.01,-0.840495,4.00642
2.05,2,0.279652,-0.9,6.46942
2.05,2,0.01,-0.9,5.78755
2.05,2,0.01,-0.9,5.78755
2.05,2,0.263989,-0.9,6.42263
2.05,2,0.3,-0.741268,3.14
2.05,2,0.3,-0.752152,3.22234
2.05,2,0.3,-0.873293,5.32513
2.05,2,0.3,-0.729739,3.06223
2.05,2,0.0917578,-0.9,5.96567
2.05,2,0.01,-0.9,5.78755
2.05,2,0.0561074,-0.9,5.88442
2.05,2,0.01,-0.742616,3.063
2.05,2,0.223478,-0.743065,3.09123
2.05,2,0.178767,-0.762848,3.2043
2.05,2,0.0664054,-0.7,2.87005
2.05,2,0.219228,-0.7,2.8586
2.05,2,0.2469,-0.773475,3.35683
2.05,2,0.3,-0.9,6.53158
2.05,2,0.3,-0.9,6.53158
2.05,2,0.142977,-0.858578,4.56655
2.05,2,0.0903439,-0.9,5.96236
2.05,2,0.3,-0.8356,4.3085
2.05,2,0.3,-0.801096,3.73401
2.05,2,0.3,-0.727472,3.04799
2.05,2,0.3,-0.866534,5.09846
2.05,2,0.3,-0.9,6.53158
2.05,2,0.3,-0.816669,3.96398
2.05,2,0.11093,-0.860786,4.57147
2.05,2,0.01,-0.9,5.78755
2.05,2,0.0288557,-0.829036,3.82971
2.05,2,0.0247171,-0.829952,3.84084
2.05,2,0.01,-0.717544,45.5985
2.05,2,0.0734203,-0.731796,2.97067
2.05,2,0.01,-0.792778,3.38005
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.219979,-0.739411,3.06468
2.05,2,0.0739519,-0.7,2.86301
2.05,2,0.255062,-0.7,2.8745
2.05,2,0.242822,-0.730837,3.02654
2.05,2,0.3,-0.855739,4.78223
2.05,2,0.3,-0.9,6.53158
2.05,2,0.112152,-0.785082,3.35167
2.05,2,0.01,-0.809819,3.5585
2.05,2,0.138848,-0.815457,3.73393
2.05,2,0.142513,-0.720565,2.92368
2.05,2,0.143525,-0.72189,2.93009
2.05,2,0.12728,-0.798119,3.50092
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.79789,3.42924
2.05,2,0.01,-0.850861,4.20721
2.05,2,0.214933,-0.863946,4.84223
2.05,2,0.16021,-0.9,6.13481
2.05,2,0.125279,-0.9,6.04643
2.05,2,0.135326,-0.795375,3.47706
2.05,2,0.1599,-0.731763,2.98577
2.05,2,0.096788,-0.7,2.84923
2.05,2,0.283765,-0.7,2.88995
2.05,2,0.29523,-0.7,2.89672
2.05,2,0.3,-0.707508,2.93601
2.05,2,0.3,-0.7,2.89964
2.05,2,0.248376,-0.81621,3.88175
2.05,2,0.3,-0.705894,2.92795
2.05,2,0.240354,-0.7,2.86749
2.05,2,0.21675,-0.707129,2.8881
2.05,2,0.115179,-0.733184,2.97904
2.05,2,0.01,-0.86131,4.44364
2.05,2,0.01,-0.9,5.78755
2.05,2,0.01,-0.892218,5.43567
2.05,2,0.01,-0.9,5.78755
2.05,2,0.01,-0.880067,4.98104
2.05,2,0.01,-0.9,5.78755
2.05,2,0.01,-0.9,5.78755
2.05,2,0.0444809,-0.868852,4.68766
2.05,2,0.01,-0.790892,3.36277
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.802713,3.47897
2.05,2,0.144206,-0.836529,4.08513
2.05,2,0.01,-0.812786,3.59406
2.05,2,0.0116729,-0.9,5.79087
2.05,2,0.01,-0.9,5.78755
2.05,2,0.122439,-0.9,6.03943
2.05,2,0.01,-0.9,5.78755
2.05,2,0.01,-0.9,5.78755
2.05,2,0.0840962,-0.879813,5.09739
2.05,2,0.102113,-0.80177,3.52152
2.05,2,0.0230409,-0.856821,4.35191
2.05,2,0.01,-0.821607,3.70867
2.05,2,0.156495,-0.861935,4.67798
2.05,2,0.235065,-0.795937,3.58626
2.05,2,0.174944,-0.8744,5.08851
2.05,2,0.163932,-0.9,6.14448
2.05,2,0.247901,-0.9,6.3755
2.05,2,0.266192,-0.9,6.42916
2.05,2,0.196629,-0.881109,5.37377
2.05,2,0.133632,-0.9,6.06717
2.05,2,0.152211,-0.9,6.1142
2.05,2,0.24897,-0.892663,5.99731
2.05,2,0.3,-0.890305,6.02387
2.05,2,0.3,-0.872486,5.29676
2.05,2,0.3,-0.884467,5.76019
2.05,2,0.3,-0.833142,4.25898
2.05,2,0.3,-0.763984,3.32293
2.05,2,0.3,-0.765321,3.33509
2.05,2,0.262564,-0.7,2.87832
2.05,2,0.3,-0.705738,2.92717
2.05,2,0.3,-0.778627,3.46588
2.05,2,0.161285,-0.711231,2.88696
2.05,2,0.135855,-0.791142,3.43148
2.05,2,0.207399,-0.731938,3.01073
2.05,2,0.162206,-0.7,2.8431
2.05,2,0.270411,-0.727121,3.02346
2.05,2,0.3,-0.720253,3.00479
2.05,2,0.260987,-0.7,2.8775
2.05,2,0.1705,-0.7,2.84445
2.05,2,0.0981827,-0.7,2.84867
2.05,2,0.01,-0.7,30.8273
2.05,2,0.01,-0.7,30.8273
2.05,2,0.130603,-0.7,2.8417
2.05,2,0.20569,-0.782128,3.40154
2.05,2,0.3,-0.712115,2.95982
2.05,2,0.3,-0.7,2.89964
2.05,2,0.3,-0.725304,3.03468
2.05,2,0.295122,-0.783109,3.50844
2.05,2,0.297752,-0.7,2.89826
2.05,2,0.3,-0.7,2.89964
2.05,2,0.200836,-0.75183,3.13639
2.05,2,0.188115,-0.737251,3.03135
2.05,2,0.13436,-0.791228,3.43114
2.05,2,0.0851185,-0.751108,3.07364
2.05,2,0.108023,-0.7,2.84539
2.05,2,0.136587,-0.705957,2.86238
2.05,2,0.206204,-0.7,2.85389
2.05,2,0.112492,-0.757263,3.1229
2.05,2,0.100034,-0.806488,3.5765
2.05,2,0.193101,-0.772432,3.29719
2.05,2,0.144027,-0.76938,3.23294
2.05,2,0.0447488,-0.7,2.90296
2.05,2,0.01,-0.727967,3.03178
2.05,2,0.0889592,-0.7,2.85292
2.05,2,0.143475,-0.7,2.84149
2.05,2,0.104201,-0.7,2.84653
2.05,2,0.01,-0.718815,3.0583
2.05,2,0.0293731,-0.725417,2.97673
2.05,2,0.125812,-0.759386,3.14434
2.05,2,0.0957609,-0.790049,3.38932
2.05,2,0.0206063,-0.785465,3.31477
2.05,2,0.01,-0.857895,4.36216
2.05,2,0.0332657,-0.869905,4.70125
2.05,2,0.104443,-0.9,5.99575
2.05,2,0.171218,-0.9,6.16355
2.05,2,0.138169,-0.892794,5.7265
2.05,2,0.11454,-0.871287,4.87388
2.05,2,0.116774,-0.862116,4.61578
2.05,2,0.0874427,-0.870875,4.8145
2.05,2,0.0756243,-0.9,5.92829
2.05,2,0.01,-0.836528,3.93717
2.05,2,0.01,-0.884818,5.14683
2.05,2,0.01,-0.881276,5.0219
2.05,2,0.01,-0.847222,4.13321
2.05,2,0.01,-0.813018,3.5969
2.05,2,0.0540194,-0.864465,4.58147
2.05,2,0.0592934,-0.871258,4.77998
2.05,2,0.0167964,-0.812935,3.59854
2.05,2,0.01,-0.861154,4.43983
2.05,2,0.01,-0.9,5.78755
2.05,2,0.0956001,-0.867376,4.7258
2.05,2,0.197096,-0.867664,4.91778
2.05,2,0.292306,-0.847454,4.5567
2.05,2,0.3,-0.824139,4.09032
2.05,2,0.283165,-0.851233,4.6317
2.05,2,0.237411,-0.836633,4.22482
2.05,2,0.223409,-0.862511,4.81747
2.05,2,0.23279,-0.876133,5.27131
2.05,2,0.29223,-0.875437,5.38364
2.05,2,0.255965,-0.9,6.39901
2.05,2,0.3,-0.897573,6.39525
2.05,2,0.3,-0.9,6.53158
2.05,2,0.220727,-0.9,6.29802
2.05,2,0.15541,-0.9,6.12241
2.05,2,0.117968,-0.9,6.02847
2.05,2,0.127822,-0.871608,4.90775
2.05,2,0.0696622,-0.860755,4.508
2.05,2,0.113667,-0.870953,4.86212
2.05,2,0.18684,-0.818707,3.83864
2.05,2,0.137782,-0.838217,4.10839
2.05,2,0.113807,-0.845163,4.21372
2.05,2,0.203971,-0.899725,6.23661
2.05,2,0.238292,-0.897197,6.1965
2.05,2,0.219672,-0.867011,4.94274
2.05,2,0.21684,-0.9,6.28715
2.05,2,0.239315,-0.850428,4.53048
2.05,2,0.281915,-0.827011,4.11292
2.05,2,0.3,-0.792768,3.62683
2.05,2,0.282983,-0.762538,3.29268
2.05,2,0.222652,-0.754355,3.1716
2.05,2,0.287678,-0.782875,3.49712
2.05,2,0.279155,-0.793901,3.61442
2.05,2,0.3,-0.75047,3.20901
2.05,2,0.3,-0.751984,3.221
2.05,2,0.3,-0.790118,3.59475
2.05,2,0.3,-0.763213,3.316
2.05,2,0.3,-0.774844,3.42681
2.05,2,0.3,-0.826048,4.12451
2.05,2,0.3,-0.851446,4.66985
2.05,2,0.294225,-0.818321,3.98212
2.05,2,0.3,-0.839326,4.38666
2.05,2,0.3,-0.89194,6.10295
2.05,2,0.226617,-0.867109,4.9598
2.05,2,0.237786,-0.844986,4.40161
2.05,2,0.169784,-0.857513,4.58443
2.05,2,0.217667,-0.811294,3.76772
2.05,2,0.172167,-0.808134,3.66983
2.05,2,0.243733,-0.849557,4.51751
2.05,2,0.18742,-0.9,6.20661
2.05,2,0.169836,-0.9,6.15992
2.05,2,0.15727,-0.9,6.12721
2.05,2,0.0826254,-0.9,5.94439
2.05,2,0.0953209,-0.9,5.97406
2.05,2,0.156802,-0.9,6.126
2.05,2,0.133071,-0.9,6.06577
2.05,2,0.0659939,-0.863061,4.56192
2.05,2,0.105717,-0.848481,4.27261
2.05,2,0.15919,-0.877641,5.16745
2.05,2,0.126584,-0.854266,4.43409
2.05,2,0.134894,-0.837038,4.0822
2.05,2,0.0854343,-0.861933,4.5616
2.05,2,0.0469714,-0.889294,5.38357
2.05,2,0.0784378,-0.858082,4.45425
2.05,2,0.141475,-0.891964,5.69666
2.05,2,0.0890736,-0.860766,4.53701
2.05,2,0.0222707,-0.889657,5.35259
2.05,2,0.0358137,-0.9,5.84051
2.05,2,0.0747239,-0.9,5.92623
2.05,2,0.113668,-0.9,6.018
2.05,2,0.142252,-0.884845,5.39937
2.05,2,0.0960559,-0.889694,5.4982
2.05,2,0.140272,-0.886742,5.47095
2.05,2,0.203592,-0.9,6.25051
2.05,2,0.20174,-0.892999,5.89019
2.05,2,0.239776,-0.896271,6.15242
2.05,2,0.185751,-0.9,6.20213
2.05,2,0.158392,-0.9,6.13011
2.05,2,0.190552,-0.9,6.21504
2.05,2,0.159247,-0.884167,5.40946
2.05,2,0.105899,-0.9,5.99924
2.05,2,0.0797255,-0.9,5.9377
2.05,2,0.11276,-0.9,6.01579
2.05,2,0.0876521,-0.9,5.95607
2.05,2,0.0895802,-0.9,5.96057
2.05,2,0.0787856,-0.868278,4.72423
2.05,2,0.123099,-0.861328,4.60526
2.05,2,0.108963,-0.872647,4.90607
2.05,2,0.0857172,-0.872915,4.87375
2.05,2,0.0628826,-0.852918,4.31238
2.05,2,0.0186888,-0.835249,3.92219
2.05,2,0.0666524,-0.872109,4.81726
2.05,2,0.0174789,-0.884689,5.1543
2.05,2,0.01,-0.9,5.78755
2.05,2,0.0104967,-0.893832,5.50514
2.05,2,0.061682,-0.9,5.89679
2.05,2,0.01,-0.866951,4.5882
2.05,2,0.01,-0.891632,5.4113
2.05,2,0.01,-0.9,5.78755
2.05,2,0.01,-0.872806,4.7529
2.05,2,0.0269776,-0.9,5.82199
2.05,2,0.01,-0.876941,4.87934
2.05,2,0.01,-0.886148,5.19585
2.05,2,0.01,-0.9,5.78755
2.05,2,0.047439,-0.897706,5.7536
2.05,2,0.01,-0.86273,4.47881
2.05,2,0.01,-0.896476,5.62139
2.05,2,0.0293283,-0.885162,5.19164
2.05,2,0.01,-0.9,5.78755
2.05,2,0.0520399,-0.883427,5.16783
2.05,2,0.0609999,-0.9,5.89527
2.05,2,0.0334794,-0.9,5.83558
2.05,2,0.0226342,-0.9,5.81303
2.05,2,0.0258316,-0.9,5.81961
2.05,2,0.0684149,-0.9,5.91191
2.05,2,0.100718,-0.9,5.98686
2.05,2,0.147815,-0.882277,5.31228
2.05,2,0.176687,-0.9,6.17798
2.05,2,0.215619,-0.9,6.28375
2.05,2,0.202624,-0.9,6.24785
2.05,2,0.196525,-0.880337,5.34442
2.05,2,0.200923,-0.892749,5.87635
2.05,2,0.22043,-0.891872,5.88479
2.05,2,0.258768,-0.869913,5.11631
2.05,2,0.288443,-0.857113,4.79606
2.05,2,0.274994,-0.855114,4.71554
2.05,2,0.254689,-0.874793,5.27302
2.05,2,0.23408,-0.872196,5.13828
2.05,2,0.199922,-0.9,6.24047
2.05,2,0.195872,-0.9,6.22944
2.05,2,0.189447,-0.9,6.21206
2.05,2,0.154282,-0.9,6.11951
2.05,2,0.168402,-0.892621,5.79009
2.05,2,0.191243,-0.9,6.2169
2.05,2,0.203442,-0.9,6.2501
2.05,2,0.233819,-0.896945,6.17097
2.05,2,0.247741,-0.9,6.37504
2.05,2,0.246004,-0.9,6.37001
