2,0,1.65,-0.428277
2,0,1.65,-0.0202757
2,0,1.65,-0.000124391
2,0,1.65,0.188203
2,0,1.66071,-0.437233
2,0,1.66071,-0.0242562
2,0,1.66071,-0.000124391
2,0,1.66071,0.000870734
2,0,1.66071,0.206115
2,0,1.67143,-0.446189
2,0,1.67143,-0.028983
2,0,1.67143,-0.000124391
2,0,1.67143,0.0013683
2,0,1.67143,0.225769
2,0,1.68214,-0.455145
2,0,1.68214,-0.0342074
2,0,1.68214,-0.000124391
2,0,1.68214,0.00211464
2,0,1.68214,0.247164
2,0,1.69286,-0.46435
2,0,1.69286,-0.0404269
2,0,1.69286,-0.000124391
2,0,1.69286,0.00310976
2,0,1.69286,0.270301
2,0,1.70357,-0.473555
2,0,1.70357,-0.047144
2,0,1.70357,-0.000373172
2,0,1.70357,0.00435367
2,0,1.70357,0.295676
2,0,1.71429,-0.48276
2,0,1.71429,-0.0546075
2,0,1.71429,-0.000373172
2,0,1.71429,0.00609514
2,0,1.71429,0.323042
2,0,1.725,-0.492213
2,0,1.725,-0.0633148
2,0,1.725,-0.000621953
2,0,1.725,0.00833417
2,0,1.725,0.353145
2,0,1.73571,-0.501418
2,0,1.73571,-0.0725197
2,0,1.73571,-0.000870734
2,0,1.73571,0.0110708
2,0,1.73571,0.385984
2,0,1.74643,-0.511121
2,0,1.74643,-0.0832173
2,0,1.74643,-0.00111951
2,0,1.74643,0.000124391
2,0,1.74643,0.0145537
2,0,1.74643,0.422057
2,0,1.75714,-0.520574
2,0,1.75714,-0.0946612
2,0,1.75714,-0.00186586
2,0,1.75714,0.000124391
2,0,1.75714,0.018783
2,0,1.75714,0.461862
2,0,1.76786,-0.530277
2,0,1.76786,-0.107349
2,0,1.76786,-0.0026122
2,0,1.76786,0.000124391
2,0,1.76786,0.0240074
2,0,1.76786,0.505648
2,0,1.77857,-0.540228
2,0,1.77857,-0.121281
2,0,1.77857,-0.00410489
2,0,1.77857,-0.000124391
2,0,1.77857,0.0304757
2,0,1.77857,0.553911
2,0,1.78929,-0.549931
2,0,1.78929,-0.136456
2,0,1.78929,-0.00584636
2,0,1.78929,-0.000124391
2,0,1.78929,0.0384367
2,0,1.78929,0.607648
2,0,1.8,-0.560131
2,0,1.8,-0.153125
2,0,1.8,-0.00858295
2,0,1.8,-0.000124391
2,0,1.8,0.000870734
2,0,1.8,0.0483879
2,0,1.8,0.667355
