2,0.064182,1.45,-0.222286,1.0001e-06,0.0364971,-0.222283,0.000164269,0.0729943,0.777717
2,0.064182,1.45,-0.222286,1.00055e-06,0.0364971,-0.222283,0.000902166,0.0729943,0.777717
2,0.064182,1.45,-0.222286,1.00257e-06,0.0364971,-0.222283,0.00421246,0.0729943,0.777717
2,0.064182,1.45,-0.222286,1.01169e-06,0.0364971,-0.222283,0.0189042,0.0729943,0.777717
2,0.064182,1.45,-0.222286,1.05269e-06,0.0364971,-0.222283,0.0811108,0.0729943,0.777717
2,0.064182,1.45,-0.222286,1.23722e-06,0.036497,-0.222283,0.299059,0.0729943,0.777718
2,0.064182,1.45,-0.222286,2.0676e-06,0.0364969,-0.222282,0.726079,0.072994,0.777721
2,0.064182,1.45,-0.222286,5.80429e-06,0.036496,-0.222279,1.01591,0.0729929,0.777733
2,0.064182,1.45,-0.222286,2.26194e-05,0.0364923,-0.222261,1.08404,0.0729877,0.777788
2,0.064182,1.45,-0.222286,9.82875e-05,0.0364755,-0.222178,1.09333,0.0729644,0.778037
2,0.064182,1.45,-0.222286,0.000438794,0.0363999,-0.221805,1.0956,0.0728595,0.779156
2,0.064182,1.45,-0.222286,0.00197107,0.0360613,-0.220122,1.10147,0.0723891,0.78422
2,0.064182,1.45,-0.222286,0.00569219,0.0352499,-0.215997,1.11565,0.0712548,0.796704
2,0.064182,1.45,-0.222286,0.0130428,0.0336926,-0.207692,1.14432,0.0690487,0.822159
2,0.064182,1.45,-0.222286,0.0249877,0.0312945,-0.193735,1.19296,0.0655618,0.865884
2,0.064182,1.45,-0.222286,0.0417508,0.0282178,-0.173135,1.2657,0.0608748,0.932553
2,0.064182,1.45,-0.222286,0.0626919,0.0248768,-0.145612,1.36438,0.0553596,1.02546
2,0.064182,1.45,-0.222286,0.0866728,0.0217888,-0.111427,1.48881,0.0495085,1.14665
2,0.064182,1.45,-0.222286,0.112507,0.0194231,-0.071079,1.63742,0.0437572,1.29736
2,0.064182,1.45,-0.222286,0.13928,0.0181268,-0.0249926,1.80817,0.0383914,1.47869
2,0.064182,1.45,-0.222286,0.166053,0.0181277,0.0258961,1.99611,0.0336146,1.68882
2,0.064182,1.45,-0.222286,0.193903,0.01965,0.0844099,2.20858,0.0292486,1.94091
2,0.064182,1.45,-0.222286,0.224356,0.0232823,0.155392,2.4546,0.0251546,2.2568
2,0.064182,1.45,-0.222286,0.233547,0.0248152,0.178295,2.52909,0.0240585,2.35962
2,0.064182,1.45,-0.222286,0.243228,0.026661,0.203153,2.60559,0.0229773,2.47066
2,0.064182,1.45,-0.222286,0.252921,0.0287535,0.228761,2.67774,0.0219756,2.58327
2,0.064182,1.45,-0.222286,0.262393,0.0310417,0.254431,2.74015,0.0210847,2.69243
2,0.064182,1.45,-0.222286,0.282311,0.0366593,0.309914,2.81274,0.0195887,2.89805
2,0.064182,1.45,-0.222286,0.290255,0.03921,0.332225,2.79804,0.0192013,2.95651

2,0.0988961,1.55,-0.271047,1.0001e-06,0.0412565,-0.271044,0.000175076,0.0825132,0.728956
2,0.0988961,1.55,-0.271047,1.00055e-06,0.0412565,-0.271044,0.000956271,0.0825132,0.728956
2,0.0988961,1.55,-0.271047,1.00257e-06,0.0412565,-0.271044,0.00446081,0.0825132,0.728956
2,0.0988961,1.55,-0.271047,1.01169e-06,0.0412565,-0.271044,0.0200146,0.0825132,0.728957
2,0.0988961,1.55,-0.271047,1.05269e-06,0.0412565,-0.271044,0.0858713,0.0825131,0.728957
2,0.0988961,1.55,-0.271047,1.23722e-06,0.0412564,-0.271043,0.316608,0.0825131,0.728957
2,0.0988961,1.55,-0.271047,2.0676e-06,0.0412562,-0.271043,0.768685,0.0825127,0.72896
2,0.0988961,1.55,-0.271047,5.80429e-06,0.0412552,-0.271039,1.07553,0.0825113,0.728973
2,0.0988961,1.55,-0.271047,2.26194e-05,0.0412506,-0.27102,1.14766,0.0825047,0.729032
2,0.0988961,1.55,-0.271047,9.82875e-05,0.0412301,-0.270933,1.15757,0.0824749,0.729295
2,0.0988961,1.55,-0.271047,0.000438794,0.041138,-0.270538,1.16025,0.0823411,0.73048
2,0.0988961,1.55,-0.271047,0.00197107,0.0407248,-0.268755,1.16773,0.0817403,0.735849
2,0.0988961,1.55,-0.271047,0.00575487,0.0397163,-0.264301,1.18624,0.0802673,0.749352
2,0.0988961,1.55,-0.271047,0.0132921,0.0377582,-0.255218,1.22433,0.0773784,0.77733
2,0.0988961,1.55,-0.271047,0.0256571,0.0346977,-0.239674,1.29059,0.0727704,0.826551
2,0.0988961,1.55,-0.271047,0.0430817,0.0307224,-0.216313,1.3926,0.0665596,0.903679
2,0.0988961,1.55,-0.271047,0.0647201,0.0263785,-0.184672,1.53501,0.0593169,1.01402
2,0.0988961,1.55,-0.271047,0.089082,0.0223526,-0.145088,1.71908,0.051799,1.16119
2,0.0988961,1.55,-0.271047,0.114671,0.0192264,-0.0983008,1.94351,0.0446395,1.34743
2,0.0988961,1.55,-0.271047,0.140259,0.0173747,-0.0453155,2.20422,0.0382379,1.57301
2,0.0988961,1.55,-0.271047,0.165848,0.0169685,0.0148505,2.50541,0.0325852,1.84588
2,0.0988961,1.55,-0.271047,0.191436,0.0182051,0.0832761,2.85016,0.0276605,2.17453
2,0.0988961,1.55,-0.271047,0.217025,0.0213104,0.161088,3.23866,0.023433,2.56683
2,0.0988961,1.55,-0.271047,0.223319,0.0223891,0.18179,3.34028,0.0224965,2.67368
