2,0.42,1.6,-0.0868,0.378,-3,-3.93059
2,0.42,1.6,-0.0868,0.378,-2.997,-3.98357
2,0.42,1.6,-0.0868,0.378,-2.994,-4.0365
2,0.42,1.6,-0.0868,0.378,-2.991,-4.08941
2,0.42,1.6,-0.0868,0.378,-2.98799,-4.14229
2,0.42,1.6,-0.0868,0.378,-2.98499,-4.19516
2,0.42,1.6,-0.0868,0.378,-2.98199,-4.24801
2,0.42,1.6,-0.0868,0.378,-2.97899,-4.30082
2,0.42,1.6,-0.0868,0.378,-2.97599,-4.35368
2,0.42,1.6,-0.0868,0.378,-2.97299,-4.40645
2,0.42,1.6,-0.0868,0.378,-2.96998,-4.45914
2,0.42,1.6,-0.0868,0.378,-2.96698,-4.51185
2,0.42,1.6,-0.0868,0.378,-2.96398,-4.56453
2,0.42,1.6,-0.0868,0.378,-2.96098,-4.6172
2,0.42,1.6,-0.0868,0.378,-2.95798,-4.66983
2,0.42,1.6,-0.0868,0.378,-2.95498,-4.72243
2,0.42,1.6,-0.0868,0.378,-2.95198,-4.77496
2,0.42,1.6,-0.0868,0.378,-2.94897,-4.82756
2,0.42,1.6,-0.0868,0.378,-2.94597,-4.88007
2,0.42,1.6,-0.0868,0.378,-2.94297,-4.93253
2,0.42,1.6,-0.0868,0.378,-2.93997,-4.98498
2,0.42,1.6,-0.0868,0.378,-2.93697,-5.03741
2,0.42,1.6,-0.0868,0.378,-2.93397,-5.08978
2,0.42,1.6,-0.0868,0.378,-2.93097,-5.14214
2,0.42,1.6,-0.0868,0.378,-2.92796,-5.19451
2,0.42,1.6,-0.0868,0.378,-2.92496,-5.24672
2,0.42,1.6,-0.0868,0.378,-2.92196,-5.29896
2,0.42,1.6,-0.0868,0.378,-2.91896,-5.35115
2,0.42,1.6,-0.0868,0.378,-2.91596,-5.40333
2,0.42,1.6,-0.0868,0.378,-2.91296,-5.45545
2,0.42,1.6,-0.0868,0.378,-2.90995,-5.50755
2,0.42,1.6,-0.0868,0.378,-2.90695,-5.55959
2,0.42,1.6,-0.0868,0.378,-2.90395,-5.61161
2,0.42,1.6,-0.0868,0.378,-2.90095,-5.66357
2,0.42,1.6,-0.0868,0.378,-2.89795,-5.7155
2,0.42,1.6,-0.0868,0.378,-2.89495,-5.76739
2,0.42,1.6,-0.0868,0.378,-2.89195,-5.81922
2,0.42,1.6,-0.0868,0.378,-2.88894,-5.87104
2,0.42,1.6,-0.0868,0.378,-2.88594,-5.92278
2,0.42,1.6,-0.0868,0.378,-2.88294,-5.97449
2,0.42,1.6,-0.0868,0.378,-2.87994,-6.02615
2,0.42,1.6,-0.0868,0.378,-2.87694,-6.07777
2,0.42,1.6,-0.0868,0.378,-2.87394,-6.12934
2,0.42,1.6,-0.0868,0.378,-2.87094,-6.18087
2,0.42,1.6,-0.0868,0.378,-2.86793,-6.23237
2,0.42,1.6,-0.0868,0.378,-2.86493,-6.28378
2,0.42,1.6,-0.0868,0.378,-2.86193,-6.33516
2,0.42,1.6,-0.0868,0.378,-2.85893,-6.3865
2,0.42,1.6,-0.0868,0.378,-2.85593,-6.43777
